"trial_type","trial_index","time_elapsed","internal_node_id","subject","experiment","code_version","rt","stimulus","key_press","event","button_pressed","octave","pitch_shift","offset"
"pavlovia","0","11","0.0-0.0","23","IP","v1.0","","","","","","","",""
"html-keyboard-response","1","6907","0.0-1.0","23","IP","v1.0","6893.5","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","welcome","","","",""
"html-button-response","2","109335","0.0-2.0","23","IP","v1.0","102423.69999999925","<p><strong>Instructions:</strong> Today we'll be asking you to listen to sequences of tones and to make some judgments about them. Specifically, you will hear seven tones on each trial. The first six tones you hear will be identical to one another, but the seventh tone will be shifted slightly higher or lower in pitch. Your goal is to determine whether the final tone is higher or lower than the first six. You will need to listen carefully, as the change in pitch will be small. We are interested in the limits of human abilities, so don't feel discouraged if you find it difficult to tell the tones apart.</p><p>Let's try a few practice trials to help you get used to the task. Click the button below when you are ready to start practicing.</p>","","main_instructions","0","","",""
"audio-keyboard-response","3","114600","0.0-3.0-0.0","23","IP","v1.0","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","4","115565","0.0-3.0-1.0","23","IP","v1.0","964.1999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","+","0"
"html-keyboard-response","5","119045","0.0-3.0-2.0","23","IP","v1.0","3478.5","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","38","practice_feedback","","","",""
"audio-keyboard-response","6","123801","0.0-3.0-0.1","23","IP","v1.0","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","7","124445","0.0-3.0-1.1","23","IP","v1.0","643.6999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","practrice_response","","4","+","0"
"html-keyboard-response","8","127965","0.0-3.0-2.1","23","IP","v1.0","3518.900000002235","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","38","practice_feedback","","","",""
"audio-keyboard-response","9","132717","0.0-3.0-0.2","23","IP","v1.0","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","10","133413","0.0-3.0-1.2","23","IP","v1.0","695.4000000022352","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","11","135198","0.0-3.0-2.2","23","IP","v1.0","1783.300000000745","<strong>Answer:</strong> The final tone began <strong>lower</strong> on this trial. Press any key to continue.","38","practice_feedback","","","",""
"audio-keyboard-response","12","139951","0.0-3.0-0.3","23","IP","v1.0","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","13","140278","0.0-3.0-1.3","23","IP","v1.0","326.19999999925494","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","14","145070","0.0-3.0-2.3","23","IP","v1.0","4791.300000000745","<strong>Answer:</strong> The final tone was <strong>lower</strong> on this trial. Press any key to continue.","40","practice_feedback","","","",""
"html-button-response","15","205176","0.0-4.0","23","IP","v1.0","58599.5","<p>Great work! Now you're ready to try it for real.</p><p>Please note that the trials will be organized into 4 sections. Each section will last about 5 minutes, and you will be able to take a break after each. Remember, your goal is to determine whether the final tone on each trial was higher or lower in pitch than the first six.</p><p>Press the button below to begin.</p>","","summary_instructions","0","","",""
"audio-keyboard-response","16","210514","0.0-5.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","17","210871","0.0-6.0","23","IP","v1.0","356.3999999985099","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
"audio-keyboard-response","18","215704","0.0-7.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","19","216063","0.0-8.0","23","IP","v1.0","358.80000000074506","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
"audio-keyboard-response","20","220743","0.0-9.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_-15.wav","null","tones","","3","-","-15"
"html-keyboard-response","21","221335","0.0-10.0","23","IP","v1.0","591.9000000022352","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","-","-15"
"audio-keyboard-response","22","226014","0.0-11.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_-15.wav","null","tones","","3","-","-15"
"html-keyboard-response","23","229544","0.0-12.0","23","IP","v1.0","3529.39999999851","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","-","-15"
"audio-keyboard-response","24","234373","0.0-13.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","25","234688","0.0-14.0","23","IP","v1.0","313.80000000074506","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
"audio-keyboard-response","26","239365","0.0-15.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_-15.wav","null","tones","","3","+","-15"
"html-keyboard-response","27","239704","0.0-16.0","23","IP","v1.0","337.80000000074506","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","-15"
"audio-keyboard-response","28","244532","0.0-17.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_15.wav","null","tones","","3","+","15"
"html-keyboard-response","29","245312","0.0-18.0","23","IP","v1.0","779.1999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","15"
"audio-keyboard-response","30","250140","0.0-19.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","31","250600","0.0-20.0","23","IP","v1.0","459.80000000074506","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","-","15"
"audio-keyboard-response","32","255353","0.0-21.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_0.wav","null","tones","","3","-","0"
"html-keyboard-response","33","255608","0.0-22.0","23","IP","v1.0","254.59999999776483","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","0"
"audio-keyboard-response","34","260287","0.0-23.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_-15.wav","null","tones","","3","+","-15"
"html-keyboard-response","35","260600","0.0-24.0","23","IP","v1.0","312.4000000022352","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","+","-15"
"audio-keyboard-response","36","265430","0.0-25.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_15.wav","null","tones","","3","+","15"
"html-keyboard-response","37","265761","0.0-26.0","23","IP","v1.0","329.5","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","15"
"audio-keyboard-response","38","270516","0.0-27.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_0.wav","null","tones","","3","+","0"
"html-keyboard-response","39","271057","0.0-28.0","23","IP","v1.0","540.0999999977648","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","+","0"
"audio-keyboard-response","40","275885","0.0-29.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","41","277609","0.0-30.0","23","IP","v1.0","1722.5","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
"audio-keyboard-response","42","282439","0.0-31.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","43","284817","0.0-32.0","23","IP","v1.0","2376.599999997765","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
"audio-keyboard-response","44","289493","0.0-33.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_-15.wav","null","tones","","3","-","-15"
"html-keyboard-response","45","290401","0.0-34.0","23","IP","v1.0","907.6999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","-15"
"audio-keyboard-response","46","295153","0.0-35.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_0.wav","null","tones","","3","+","0"
"html-keyboard-response","47","296057","0.0-36.0","23","IP","v1.0","903.6999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","0"
"audio-keyboard-response","48","300737","0.0-37.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_-15.wav","null","tones","","3","+","-15"
"html-keyboard-response","49","302218","0.0-38.0","23","IP","v1.0","1479.699999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","-15"
"audio-keyboard-response","50","306896","0.0-39.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_-15.wav","null","tones","","3","-","-15"
"html-keyboard-response","51","308113","0.0-40.0","23","IP","v1.0","1216.199999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","-15"
"audio-keyboard-response","52","312945","0.0-41.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_15.wav","null","tones","","3","+","15"
"html-keyboard-response","53","313746","0.0-42.0","23","IP","v1.0","799.6999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","15"
"audio-keyboard-response","54","318495","0.0-43.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_0.wav","null","tones","","3","-","0"
"html-keyboard-response","55","320338","0.0-44.0","23","IP","v1.0","1841.8999999985099","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","-","0"
"audio-keyboard-response","56","325165","0.0-45.0","23","IP","v1.0","null","stimuli/sequence_A3+_500_15.wav","null","tones","","3","+","15"
"html-keyboard-response","57","327250","0.0-46.0","23","IP","v1.0","2084.199999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","+","15"
"audio-keyboard-response","58","332079","0.0-47.0","23","IP","v1.0","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
