"trial_type","trial_index","time_elapsed","internal_node_id","subject","experiment","code_version","rt","stimulus","key_press","event","button_pressed","octave","pitch_shift","offset"
"pavlovia","0","25","0.0-0.0","8","IP","v0.9","","","","","","","",""
"html-keyboard-response","1","3153","0.0-1.0","8","IP","v0.9","3125","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","welcome","","","",""
"html-button-response","2","29828","0.0-2.0","8","IP","v0.9","26672.899999976158","<p><strong>Instructions:</strong> Today we'll be asking you to listen to sequences of tones and to make some judgments about them. Specifically, you will hear seven tones on each trial. The first six tones you hear will be identical to one another, but the seventh tone will be shifted slightly higher or lower in pitch. Your goal is to determine whether the final tone is higher or lower than the first six. You will need to listen carefully, as the change in pitch will be small. We are interested in the limits of human abilities, so don't feel discouraged if you find it difficult to tell the tones apart.</p><p>Let's try a few practice trials to help you get used to the task. Click the button below when you are ready to start practicing.</p>","","main_instructions","0","","",""
"audio-keyboard-response","3","35157","0.0-3.0-0.0","8","IP","v0.9","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","4","38456","0.0-3.0-1.0","8","IP","v0.9","3297.199999988079","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","+","0"
"html-keyboard-response","5","43102","0.0-3.0-2.0","8","IP","v0.9","4644.399999976158","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","6","47866","0.0-3.0-0.1","8","IP","v0.9","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","7","49135","0.0-3.0-1.1","8","IP","v0.9","1267","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","8","51503","0.0-3.0-2.1","8","IP","v0.9","2366.600000023842","<strong>Answer:</strong> The final tone was <strong>lower</strong> on this trial. Press any key to continue.","40","practice_feedback","","","",""
"audio-keyboard-response","9","56265","0.0-3.0-0.2","8","IP","v0.9","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","10","57283","0.0-3.0-1.2","8","IP","v0.9","1015.7000000476837","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","practrice_response","","4","+","0"
"html-keyboard-response","11","58555","0.0-3.0-2.2","8","IP","v0.9","1270.2000000476837","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","40","practice_feedback","","","",""
"audio-keyboard-response","12","63306","0.0-3.0-0.3","8","IP","v0.9","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","13","63898","0.0-3.0-1.3","8","IP","v0.9","591","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","14","64655","0.0-3.0-2.3","8","IP","v0.9","755.8999999761581","<strong>Answer:</strong> The final tone began <strong>lower</strong> on this trial. Press any key to continue.","40","practice_feedback","","","",""
"html-button-response","15","78776","0.0-4.0","8","IP","v0.9","12617","<p>Great work! Now you're ready to try it for real.</p><p>Please note that the trials will be organized into 4 sections. Each section will last about 5 minutes, and you will be able to take a break after each. Remember, your goal is to determine whether the final tone on each trial was higher or lower in pitch than the first six.</p><p>Press the button below to begin.</p>","","summary_instructions","0","","",""
"audio-keyboard-response","16","84026","0.0-5.0","8","IP","v0.9","null","stimuli/sequence_A3+_500_0.wav","null","tones","","3","+","0"
"html-keyboard-response","17","86188","0.0-6.0","8","IP","v0.9","2160.5","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","0"
"audio-keyboard-response","18","90946","0.0-7.0","8","IP","v0.9","null","stimuli/sequence_A3+_500_0.wav","null","tones","","3","+","0"
"html-keyboard-response","19","91969","0.0-8.0","8","IP","v0.9","1021","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","+","0"
"audio-keyboard-response","20","96716","0.0-9.0","8","IP","v0.9","null","stimuli/sequence_A3+_500_0.wav","null","tones","","3","+","0"
"html-keyboard-response","21","97500","0.0-10.0","8","IP","v0.9","781.3000000119209","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","3","+","0"
"audio-keyboard-response","22","102326","0.0-11.0","8","IP","v0.9","null","stimuli/sequence_A3-_500_15.wav","null","tones","","3","-","15"
"html-keyboard-response","23","105335","0.0-12.0","8","IP","v0.9","3006.600000023842","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","3","-","15"
