"trial_type","trial_index","time_elapsed","internal_node_id","subject","experiment","code_version","rt","stimulus","key_press","event","button_pressed","octave","pitch_shift","offset"
"pavlovia","0","11","0.0-0.0","18","IP","v1.0","","","","","","","",""
"html-keyboard-response","1","8069","0.0-1.0","18","IP","v1.0","8055.800000000745","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","welcome","","","",""
"html-button-response","2","89970","0.0-2.0","18","IP","v1.0","81897.29999999888","<p><strong>Instructions:</strong> Today we'll be asking you to listen to sequences of tones and to make some judgments about them. Specifically, you will hear seven tones on each trial. The first six tones you hear will be identical to one another, but the seventh tone will be shifted slightly higher or lower in pitch. Your goal is to determine whether the final tone is higher or lower than the first six. You will need to listen carefully, as the change in pitch will be small. We are interested in the limits of human abilities, so don't feel discouraged if you find it difficult to tell the tones apart.</p><p>Let's try a few practice trials to help you get used to the task. Click the button below when you are ready to start practicing.</p>","","main_instructions","0","","",""
"audio-keyboard-response","3","95238","0.0-3.0-0.0","18","IP","v1.0","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","4","104944","0.0-3.0-1.0","18","IP","v1.0","9704.200000001118","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","5","109967","0.0-3.0-2.0","18","IP","v1.0","5021.799999998882","<strong>Answer:</strong> The final tone was <strong>lower</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","6","114719","0.0-3.0-0.1","18","IP","v1.0","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","7","117039","0.0-3.0-1.1","18","IP","v1.0","2319.2999999988824","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","practrice_response","","4","+","0"
"html-keyboard-response","8","120959","0.0-3.0-2.1","18","IP","v1.0","3918.9000000003725","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","9","125714","0.0-3.0-0.2","18","IP","v1.0","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","10","130208","0.0-3.0-1.2","18","IP","v1.0","4492.199999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","practrice_response","","4","+","0"
"html-keyboard-response","11","131095","0.0-3.0-2.2","18","IP","v1.0","886.8000000007451","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","12","135850","0.0-3.0-0.3","18","IP","v1.0","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","13","136464","0.0-3.0-1.3","18","IP","v1.0","612.7000000011176","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","14","137119","0.0-3.0-2.3","18","IP","v1.0","655.1000000014901","<strong>Answer:</strong> The final tone began <strong>lower</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"html-button-response","15","172299","0.0-4.0","18","IP","v1.0","33672.59999999963","<p>Great work! Now you're ready to try it for real.</p><p>Please note that the trials will be organized into 4 sections. Each section will last about 5 minutes, and you will be able to take a break after each. Remember, your goal is to determine whether the final tone on each trial was higher or lower in pitch than the first six.</p><p>Press the button below to begin.</p>","","summary_instructions","0","","",""
"audio-keyboard-response","16","177483","0.0-5.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_-15.wav","null","tones","","5","-","-15"
"html-keyboard-response","17","179529","0.0-6.0","18","IP","v1.0","2044.199999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","-15"
"audio-keyboard-response","18","184206","0.0-7.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","19","184873","0.0-8.0","18","IP","v1.0","666.0999999996275","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","-15"
"audio-keyboard-response","20","189552","0.0-9.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","21","190489","0.0-10.0","18","IP","v1.0","935.5999999996275","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","-15"
"audio-keyboard-response","22","195317","0.0-11.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","23","197481","0.0-12.0","18","IP","v1.0","2163.4000000003725","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","24","202236","0.0-13.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_0.wav","null","tones","","5","-","0"
"html-keyboard-response","25","204993","0.0-14.0","18","IP","v1.0","2755.800000000745","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","0"
"audio-keyboard-response","26","209673","0.0-15.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","27","211905","0.0-16.0","18","IP","v1.0","2231.7999999988824","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","-15"
"audio-keyboard-response","28","216662","0.0-17.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_0.wav","null","tones","","5","+","0"
"html-keyboard-response","29","216985","0.0-18.0","18","IP","v1.0","322.30000000074506","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","0"
"audio-keyboard-response","30","221742","0.0-19.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_0.wav","null","tones","","5","+","0"
"html-keyboard-response","31","224242","0.0-20.0","18","IP","v1.0","2499.0999999996275","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","0"
"audio-keyboard-response","32","229074","0.0-21.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","33","230002","0.0-22.0","18","IP","v1.0","927.1999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","34","234757","0.0-23.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_0.wav","null","tones","","5","+","0"
"html-keyboard-response","35","236354","0.0-24.0","18","IP","v1.0","1596.5","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","0"
"audio-keyboard-response","36","241183","0.0-25.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_15.wav","null","tones","","5","-","15"
"html-keyboard-response","37","241972","0.0-26.0","18","IP","v1.0","787.6999999992549","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","-","15"
"audio-keyboard-response","38","246802","0.0-27.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","39","247754","0.0-28.0","18","IP","v1.0","951","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","40","252433","0.0-29.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","41","254274","0.0-30.0","18","IP","v1.0","1840.0999999996275","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","-15"
"audio-keyboard-response","42","259103","0.0-31.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","43","261107","0.0-32.0","18","IP","v1.0","2002.2999999988824","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","15"
"audio-keyboard-response","44","265936","0.0-33.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","45","267083","0.0-34.0","18","IP","v1.0","1145.5","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","46","271834","0.0-35.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_0.wav","null","tones","","5","+","0"
"html-keyboard-response","47","272963","0.0-36.0","18","IP","v1.0","1127.800000000745","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","0"
"audio-keyboard-response","48","277790","0.0-37.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_15.wav","null","tones","","5","-","15"
"html-keyboard-response","49","278827","0.0-38.0","18","IP","v1.0","1035.800000000745","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","15"
"audio-keyboard-response","50","283502","0.0-39.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","51","286539","0.0-40.0","18","IP","v1.0","3035.9000000003725","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","-15"
"audio-keyboard-response","52","291293","0.0-41.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_0.wav","null","tones","","5","-","0"
"html-keyboard-response","53","293931","0.0-42.0","18","IP","v1.0","2637.300000000745","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","0"
"audio-keyboard-response","54","298607","0.0-43.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_-15.wav","null","tones","","5","+","-15"
"html-keyboard-response","55","299123","0.0-44.0","18","IP","v1.0","515.2999999988824","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","-15"
"audio-keyboard-response","56","303954","0.0-45.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","57","304603","0.0-46.0","18","IP","v1.0","648.8000000007451","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","58","309358","0.0-47.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_0.wav","null","tones","","5","+","0"
"html-keyboard-response","59","311100","0.0-48.0","18","IP","v1.0","1740.7000000011176","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","+","0"
"audio-keyboard-response","60","315930","0.0-49.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_15.wav","null","tones","","5","-","15"
"html-keyboard-response","61","316252","0.0-50.0","18","IP","v1.0","320.90000000037253","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","-","15"
"audio-keyboard-response","62","321003","0.0-51.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_0.wav","null","tones","","5","-","0"
"html-keyboard-response","63","321804","0.0-52.0","18","IP","v1.0","799.5999999996275","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","0"
"audio-keyboard-response","64","326484","0.0-53.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_-15.wav","null","tones","","5","-","-15"
"html-keyboard-response","65","329172","0.0-54.0","18","IP","v1.0","2687.4000000003725","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","response","","5","-","-15"
"audio-keyboard-response","66","334001","0.0-55.0","18","IP","v1.0","null","stimuli/sequence_A5+_500_15.wav","null","tones","","5","+","15"
"html-keyboard-response","67","336820","0.0-56.0","18","IP","v1.0","2818.199999999255","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","response","","5","+","15"
"audio-keyboard-response","68","341652","0.0-57.0","18","IP","v1.0","null","stimuli/sequence_A5-_500_15.wav","null","tones","","5","-","15"
