"trial_type","trial_index","time_elapsed","internal_node_id","subject","experiment","code_version","rt","stimulus","key_press","event","button_pressed","octave","pitch_shift","offset"
"pavlovia","0","20","0.0-0.0","5","IP","v0.9","","","","","","","",""
"html-keyboard-response","1","1628","0.0-1.0","5","IP","v0.9","1606.7999999523163","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","welcome","","","",""
"html-button-response","2","3970","0.0-2.0","5","IP","v0.9","2339.100000143051","<p><strong>Instructions:</strong> Today we'll be asking you to listen to sequences of tones and to make some judgments about them. Specifically, you will hear seven tones on each trial. The first six tones you hear will be identical to one another, but the seventh tone will be shifted slightly higher or lower in pitch. Your goal is to determine whether the final tone is higher or lower than the first six. You will need to listen carefully, as the change in pitch will be small. We are interested in the limits of human abilities, so don't feel discouraged if you find it difficult to tell the tones apart.</p><p>Let's try a few practice trials to help you get used to the task. Click the button below when you are ready to start practicing.</p>","","main_instructions","0","","",""
"audio-keyboard-response","3","9758","0.0-3.0-0.0","5","IP","v0.9","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
"html-keyboard-response","4","11762","0.0-3.0-1.0","5","IP","v0.9","2003.1000001430511","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","38","practrice_response","","4","+","0"
"html-keyboard-response","5","14860","0.0-3.0-2.0","5","IP","v0.9","3096.4000000953674","<strong>Answer:</strong> The final tone began <strong>higher</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","6","19616","0.0-3.0-0.1","5","IP","v0.9","null","stimuli/sequence_A4-_500_0.wav","null","practice_tones","","4","-","0"
"html-keyboard-response","7","20596","0.0-3.0-1.1","5","IP","v0.9","977.9000000953674","Was the final tone (up arrow) higher or (down arrow) lower in pitch?","40","practrice_response","","4","-","0"
"html-keyboard-response","8","21955","0.0-3.0-2.1","5","IP","v0.9","1358.8999998569489","<strong>Answer:</strong> The final tone was <strong>lower</strong> on this trial. Press any key to continue.","32","practice_feedback","","","",""
"audio-keyboard-response","9","26714","0.0-3.0-0.2","5","IP","v0.9","null","stimuli/sequence_A4+_500_0.wav","null","practice_tones","","4","+","0"
